time,latitude,longitude,pressure,translation_speed,zonal_speed,meridional_speed
2021072103,24.0638,127.2832,97864.67,0.0,0.0,0.0
2021072106,24.053,127.64,97300.26,7.5117,-6.4591,3.8436
2021072109,24.2712,126.9015,96880.83,14.9034,-14.7825,-1.8495
2021072112,23.9532,126.7665,96914.62,7.0061,-5.3944,-4.4645
2021072115,24.0303,126.5822,96777.79,6.3237,-5.9701,-2.0775
2021072118,23.8411,126.414,96304.61,6.7794,-6.7062,-0.9841
2021072121,23.9772,126.186,96007.44,4.4969,-4.4005,0.9303
2021072200,23.8913,126.1544,95794.7,1.8421,-1.6561,-0.8062
2021072203,23.9337,126.0882,95643.06,4.5098,-4.3158,-1.3047
2021072206,23.8209,125.8997,95481.65,6.7874,-6.7095,-1.0156
2021072209,23.8789,125.6921,95475.17,10.3607,-10.2113,1.7754
2021072212,23.9167,125.2974,95384.21,6.3391,-5.777,2.6168
2021072215,24.0201,125.3512,95187.23,3.961,-0.0712,3.9604
2021072218,24.1304,125.2932,94900.96,6.6365,-2.0635,6.3085
2021072221,24.3605,125.2293,94528.04,10.8609,-4.8101,9.7425
2021072300,24.6561,125.0088,94341.24,8.8113,-5.0951,7.1943
2021072303,24.7487,124.9275,94130.28,4.5965,-3.8924,2.4481
2021072306,24.7882,124.7777,93934.25,6.2182,-3.2281,5.317
2021072309,25.0356,124.7357,93954.46,10.2553,-2.5473,9.9353
2021072312,25.3243,124.6263,94100.84,11.9427,-4.6948,10.9861
2021072315,25.6284,124.4561,94218.06,14.5356,-4.9266,13.6807
2021072318,26.0625,124.3322,94270.12,15.9926,-5.3069,15.0929
2021072321,26.4428,124.1385,94425.46,15.9733,-6.5893,14.561
2021072400,26.8482,123.9364,94596.02,17.4103,-6.9743,15.9639
2021072403,27.3042,123.7182,94674.06,18.3456,-5.0696,17.6374
2021072406,27.7999,123.6298,94732.43,20.1324,-8.1466,18.4269
2021072409,28.2985,123.2235,94904.72,21.648,-11.4656,18.3954
2021072412,28.7925,122.9304,95132.62,21.5315,-11.9005,17.9802
2021072415,29.2687,122.4942,95432.36,21.4337,-12.3158,17.5818
2021072418,29.7412,122.1721,95641.97,18.015,-9.8099,15.1355
2021072421,30.0854,121.8874,95932.93,14.781,-8.9307,11.7997
2021072500,30.3779,121.6171,96210.12,12.1063,-8.5455,8.5954
2021072503,30.5492,121.3545,96520.23,9.1822,-7.2634,5.632
2021072506,30.6818,121.1628,96739.29,6.7264,-3.0947,5.9749
2021072509,30.8716,121.1606,96957.89,4.8335,-2.5756,4.092
2021072512,30.9026,121.0012,97256.93,4.5205,-3.9465,2.2091
2021072515,30.9908,120.9125,97469.28,3.8929,-1.0559,3.7473
2021072518,31.1048,120.9348,97560.68,4.8307,2.1003,4.3514
2021072521,31.2256,121.0447,97686.78,2.5911,0.2222,2.5816
2021072600,31.2441,120.9488,97805.65,0.0,0.0,0.0
