time,latitude,longitude,pressure,translation_speed,zonal_speed,meridional_speed
2021072100,24.3453,127.7836,98050.67,0.0,0.0,0.0
2021072103,24.3916,127.2258,97785.74,11.2335,-10.7825,-3.1264
2021072106,24.1766,127.145,97435.64,12.6193,-4.0728,-11.9405
2021072109,23.7473,126.9845,97020.93,8.4075,-2.7136,-7.956
2021072112,23.7473,126.9845,97037.39,9.3905,-8.0966,4.7703
2021072115,24.0047,126.5072,96643.15,13.1373,-12.5376,3.9567
2021072118,23.9608,126.2454,96160.0,4.4255,3.0812,-3.1746
2021072121,23.8334,126.6892,95726.46,2.6276,2.5081,-0.7821
2021072200,23.9186,126.3935,95482.08,11.4046,-11.3715,-0.8414
2021072203,23.788,126.0184,95191.58,11.4138,-11.3776,-0.8821
2021072206,23.871,125.7219,94966.83,9.4897,-9.466,0.6894
2021072209,23.8252,125.4602,94951.29,9.0347,-8.8685,-1.7087
2021072212,23.7788,125.1986,94978.32,5.2569,-5.0385,1.5048
2021072215,23.9064,125.163,94887.02,6.6236,-3.7327,5.4745
2021072218,24.0742,124.9785,94565.09,4.4079,-3.1259,3.1098
2021072221,24.0742,124.9785,94174.36,2.6265,-2.5212,0.7376
2021072300,24.114,124.8295,93728.23,4.4019,-3.1286,3.0986
2021072303,24.2414,124.7936,93458.72,10.9621,-6.8879,8.5379
2021072306,24.5747,124.4223,93356.09,9.3571,-8.1906,4.5386
2021072309,24.4863,124.3089,93433.19,5.2504,-5.0528,1.4326
2021072312,24.652,124.1225,93753.31,7.3067,-1.8468,7.0702
2021072315,24.8678,124.1994,93974.71,12.7971,1.366,12.7244
2021072318,25.3386,124.2036,94147.73,16.1001,-6.2448,14.8483
2021072321,25.669,123.828,94288.91,15.5021,-11.9893,9.8593
2021072400,25.8706,123.4878,94356.52,13.135,-9.4726,9.1199
2021072403,26.1611,123.2609,94483.38,13.1188,-9.4965,9.0717
2021072406,26.3601,122.9183,94633.16,17.4424,-10.7888,13.7326
2021072409,26.9021,122.6123,94876.66,17.7628,-8.9155,15.382
2021072412,27.1901,122.3814,95167.79,15.4096,-12.101,9.5757
2021072415,27.4188,121.8801,95491.15,18.551,-16.5653,8.4175
2021072418,27.6443,121.3765,95664.38,14.4087,-13.3842,5.38
2021072421,27.7091,121.0665,95870.17,9.2619,-8.3037,4.1198
2021072500,27.8666,120.8707,96219.22,12.0867,-12.074,0.5893
2021072503,27.7409,120.3306,96542.76,14.6672,-14.6288,1.1157
2021072506,27.9268,119.9778,96906.48,13.0689,-12.7775,2.7854
2021072509,27.8912,119.5516,97221.9,14.6788,-14.6517,0.947
2021072512,27.9779,119.083,97583.31,16.548,-16.5189,-0.9155
2021072515,27.8418,118.5431,97771.1,13.9601,-12.5401,-6.0953
2021072518,27.649,118.3168,97860.84,11.5796,-6.6925,-9.4386
2021072521,27.3325,118.1347,97927.26,8.4679,-2.2786,-8.1543
2021072600,27.209,118.178,98119.84,0.0,0.0,0.0
