time,latitude,longitude,pressure,translation_speed,zonal_speed,meridional_speed
2021072103,24.0445,127.161,97869.07,0.0,0.0,0.0
2021072106,23.9569,127.6014,97349.59,5.431,-4.7947,2.5556
2021072109,24.1824,126.8777,96952.16,9.4537,-9.4452,0.4207
2021072112,23.9796,127.0437,96934.74,11.4933,-9.4675,-6.4975
2021072115,23.8318,126.3177,96793.0,10.0867,-10.0802,-0.341
2021072118,23.9612,126.4484,96391.09,1.7501,1.068,-1.3862
2021072121,23.757,126.3807,96144.04,4.1795,-3.9578,-1.3399
2021072200,23.8889,126.2147,95969.52,4.2376,-3.5587,-2.298
2021072203,23.633,126.1709,95764.62,8.7485,-8.5555,-1.8125
2021072206,23.7911,125.7098,95588.04,10.7616,-10.4552,2.5723
2021072209,23.7718,125.5551,95538.77,8.4118,-8.3991,-0.4466
2021072212,23.767,125.2145,95473.86,6.9095,-6.7586,1.4455
2021072215,23.8498,125.1566,95302.4,3.8928,-3.5109,-1.679
2021072218,23.6764,125.0075,94964.2,5.6486,-5.4477,1.4993
2021072221,23.9307,124.8352,94721.97,9.0811,-7.2677,5.456
2021072300,23.9708,124.5793,94463.89,6.9704,-6.4251,2.7113
2021072303,24.077,124.4559,94195.44,6.5887,-5.4223,3.7491
2021072306,24.1731,124.2591,94061.99,6.8579,-6.0625,3.2135
2021072309,24.2504,124.0976,94065.91,7.0847,-5.6403,4.294
2021072312,24.4048,123.9255,94147.68,9.0911,-7.0799,5.7136
2021072315,24.5587,123.6786,94201.43,13.1196,-8.5261,9.9872
2021072318,24.9437,123.4203,94166.71,15.8204,-10.8013,11.5847
2021072321,25.1838,123.0378,94311.56,15.207,-12.7457,8.3304
2021072400,25.3932,122.6618,94499.45,13.3607,-9.3028,9.6091
2021072403,25.7023,122.4831,94591.13,18.3414,-13.0336,12.9431
2021072406,26.0916,121.8833,94692.2,19.7032,-16.6003,10.6766
2021072409,26.2784,121.489,94932.72,17.806,-15.3673,9.0494
2021072412,26.5799,120.96,95465.89,23.1648,-20.946,9.9964
2021072415,26.8178,120.2285,96134.04,22.7329,-21.9055,6.1917
2021072418,26.914,119.6383,96685.01,26.4648,-24.7128,9.6165
2021072421,27.3367,118.7343,97333.03,26.5697,-24.2754,10.9434
2021072500,27.5045,118.1693,97746.55,14.0536,-12.2105,6.9942
2021072503,27.7141,117.9926,98049.51,16.2061,-13.3081,9.2922
2021072506,28.0059,117.3597,98245.25,21.093,-20.6966,4.1772
2021072509,27.9395,116.7311,98452.12,18.745,-18.4141,-3.423
2021072512,27.8212,116.2343,98659.52,22.0038,-21.8276,-2.6631
2021072515,27.7958,115.3979,98808.59,15.1664,-14.9594,-2.4426
2021072518,27.6894,115.3216,98794.04,9.4559,-6.4904,-6.8663
2021072521,27.4253,115.002,98856.12,7.1783,-5.2447,-4.8944
2021072600,27.4253,115.002,98980.26,0.0,0.0,0.0
