time,latitude,longitude,pressure,translation_speed,zonal_speed,meridional_speed
2021072100,24.1,127.9,95500.42,0.0,0.0,0.0
2021072106,24.053,127.64,97300.26,9.6892,-9.5877,-1.3603
2021072112,23.9532,126.7665,96914.62,10.5665,-10.374,-1.9635
2021072118,23.8411,126.414,96304.61,5.2163,-5.1834,-0.5736
2021072200,23.8913,126.1544,95794.7,4.3633,-4.359,-0.1872
2021072206,23.8209,125.8997,95481.65,7.2638,-7.2607,0.2354
2021072212,23.9167,125.2974,95384.21,5.8817,-5.1412,2.8679
2021072218,24.1304,125.2932,94900.96,7.2722,-2.4446,6.8515
2021072300,24.6561,125.0088,94341.24,7.4872,-4.3593,6.0953
2021072306,24.7882,124.7777,93934.25,6.9755,-3.2212,6.1917
2021072312,25.3243,124.6263,94100.84,12.3826,-3.7478,11.808
2021072318,26.0625,124.3322,94270.12,15.2434,-5.7784,14.1208
2021072400,26.8482,123.9364,94596.02,17.6,-5.9716,16.5727
2021072406,27.851,123.6148,94724.98,19.8128,-8.317,18.0164
2021072412,28.7925,122.9304,95132.62,21.0713,-11.8198,17.5151
2021072418,29.7412,122.1721,95641.97,18.1052,-10.6648,14.6907
2021072500,30.3779,121.6171,96210.12,11.8863,-8.1205,8.7158
2021072506,30.6818,121.1628,96739.29,6.9101,-4.9235,4.862
2021072512,30.9026,121.0012,97256.93,4.3186,-1.817,3.9196
2021072518,31.1048,120.9348,97560.68,3.1916,-0.4166,3.1644
2021072600,31.2441,120.9488,97805.65,0.0,0.0,0.0
