time,latitude,longitude,pressure,translation_speed,zonal_speed,meridional_speed
2021072100,24.1,127.9,95500.42,0.0,0.0,0.0
2021072106,24.133,127.2928,97427.02,9.4488,-8.9923,-2.8679
2021072112,23.7905,126.8369,97031.45,9.1923,-8.2745,-3.9752
2021072118,23.704,126.3143,96233.02,4.7379,-4.7227,0.3883
2021072200,23.8324,126.2799,95480.49,5.256,-5.0262,1.5475
2021072206,23.871,125.7219,95074.81,8.2114,-8.2066,0.3113
2021072212,23.866,125.3117,94942.44,6.035,-5.9959,0.7005
2021072218,23.9466,125.0143,94563.96,4.6846,-4.0861,2.298
2021072300,24.114,124.8295,93784.65,6.6026,-4.706,4.6405
2021072306,24.4474,124.4586,93403.4,7.6671,-5.0196,5.8062
2021072312,24.7406,124.236,93887.34,8.9273,-4.3847,7.7846
2021072318,25.2875,123.9388,94313.42,12.4886,-5.3339,11.3048
2021072400,25.9606,123.6022,94545.34,13.3629,-6.6289,11.6227
2021072406,26.5418,123.1476,94961.9,15.291,-9.2118,12.2444
2021072412,27.282,122.4965,95474.05,16.3067,-11.4894,11.6347
2021072418,27.7974,121.7616,95987.04,13.5047,-11.4942,7.1545
2021072500,28.0541,121.1008,96644.38,9.7892,-9.2461,3.258
2021072506,28.149,120.6336,97129.51,7.8369,-7.6492,1.7346
2021072512,28.2413,120.1654,97757.15,8.2601,-8.2511,-0.3521
2021072518,28.111,119.6237,97996.04,11.6771,-10.3428,-5.367
2021072600,27.6621,118.8984,98214.3,0.0,0.0,0.0
