"TIME","uzonal","umeridional"
2021-07-21_03,-0.7344,-0.6345
2021-07-21_06,0.0118,0.8524
2021-07-21_09,-1.5168,-1.9521
2021-07-21_12,-1.3407,-1.5445
2021-07-21_15,-2.0323,-0.9256
2021-07-21_18,-0.4123,-0.5070
2021-07-21_21,-0.9325,-0.8245
2021-07-22_00,-0.4323,0.0334
2021-07-22_03,-0.0759,0.5452
2021-07-22_06,0.8051,-0.1058
2021-07-22_09,0.1085,-1.0851
2021-07-22_12,-0.7281,-1.3512
2021-07-22_15,-0.6440,0.4403
2021-07-22_18,-0.0358,1.5897
2021-07-22_21,-0.1090,2.1901
2021-07-23_00,-0.8690,2.0926
2021-07-23_03,-0.3739,2.4405
2021-07-23_06,0.4725,2.1327
2021-07-23_09,-0.1403,2.1898
2021-07-23_12,-0.9588,2.8522
2021-07-23_15,-0.9204,3.8055
2021-07-23_18,-0.7620,4.4859
2021-07-23_21,-0.7962,4.4241
2021-07-24_00,-1.2568,4.6836
2021-07-24_03,-1.2975,5.2533
2021-07-24_06,-1.3953,5.7271
2021-07-24_09,-2.3071,4.8832
2021-07-24_12,-3.4879,5.0549
2021-07-24_15,-3.8717,5.1359
2021-07-24_18,-3.3114,4.8730
2021-07-24_21,-2.8916,3.9509
2021-07-25_00,-2.8595,3.2594
2021-07-25_03,-2.0865,2.5837
2021-07-25_06,-1.0404,1.7327
2021-07-25_09,-0.7247,1.0371
2021-07-25_12,-0.6993,0.3243
2021-07-25_15,-0.5391,0.2456
2021-07-25_18,0.0323,-0.0069
2021-07-25_21,0.0290,-0.6288
2021-07-26_00,-0.2307,-1.7076
