"TIME","uzonal","umeridional"
2021-07-21_03,-1.9400,-3.0809
2021-07-21_06,-0.8163,-1.5098
2021-07-21_09,-2.2664,-4.0800
2021-07-21_12,-2.7907,-2.8146
2021-07-21_15,-2.5972,-3.6747
2021-07-21_18,-2.4438,-2.2791
2021-07-21_21,-1.5050,-2.1008
2021-07-22_00,-2.2814,-1.9517
2021-07-22_03,-0.9450,-1.0762
2021-07-22_06,-1.2516,-2.2946
2021-07-22_09,-1.7080,-2.7953
2021-07-22_12,-2.5343,-2.6341
2021-07-22_15,-2.5288,-0.9657
2021-07-22_18,-0.9047,-0.1484
2021-07-22_21,-1.3356,0.0424
2021-07-23_00,-1.4125,0.0162
2021-07-23_03,-1.5236,0.5092
2021-07-23_06,-1.3639,0.3948
2021-07-23_09,-1.6871,0.2809
2021-07-23_12,-2.4570,1.1938
2021-07-23_15,-2.2640,2.4051
2021-07-23_18,-2.5830,3.0366
2021-07-23_21,-2.7782,2.7248
2021-07-24_00,-3.2745,2.8358
2021-07-24_03,-3.7590,3.8649
2021-07-24_06,-4.4010,2.9800
2021-07-24_09,-4.6910,2.6440
2021-07-24_12,-5.6919,2.6636
2021-07-24_15,-5.9230,2.9992
2021-07-24_18,-4.6752,3.1518
2021-07-24_21,-5.1367,1.7528
2021-07-25_00,-5.0718,1.4575
2021-07-25_03,-4.7546,1.9489
2021-07-25_06,-4.7707,0.8872
2021-07-25_09,-4.3381,-0.5072
2021-07-25_12,-4.4326,-0.9875
2021-07-25_15,-4.3141,-1.3897
2021-07-25_18,-3.1715,-0.6664
2021-07-25_21,-2.2347,-0.8003
2021-07-26_00,-2.2408,-0.4170
