"TIME","uzonal","umeridional"
2021-07-21_00,0,0
2021-07-21_06,-0.9772,-0.9291
2021-07-21_12,-1.5537,-1.1804
2021-07-21_18,-0.8081,-0.3006
2021-07-22_00,-0.8743,-0.4706
2021-07-22_06,-0.9269,-0.6705
2021-07-22_12,-1.8959,-0.4613
2021-07-22_18,-0.4487,0.7870
2021-07-23_00,-0.7842,0.7893
2021-07-23_06,-1.0265,0.7930
2021-07-23_12,-1.5381,1.7788
2021-07-23_18,-1.1144,3.2420
2021-07-24_00,-1.8898,3.3031
2021-07-24_06,-2.3721,3.1377
2021-07-24_12,-3.7364,1.9602
2021-07-24_18,-1.9515,1.7566
2021-07-25_00,-0.7978,0.1640
2021-07-25_06,0.0596,-1.1892
2021-07-25_12,-0.6886,-2.9214
2021-07-25_18,0.5377,-2.1780
2021-07-26_00,1.3767,-1.6331
